"Prices","year","month","State"
15.02,2007,5,"Alaska"
15.35,2007,6,"Alaska"
15.86,2007,7,"Alaska"
15.84,2007,8,"Alaska"
15.44,2007,9,"Alaska"
15.82,2007,10,"Alaska"
15.05,2007,11,"Alaska"
15.57,2007,12,"Alaska"
15.27,2008,1,"Alaska"
15.55,2008,2,"Alaska"
15.9,2008,3,"Alaska"
17.38,2008,4,"Alaska"
17.55,2008,5,"Alaska"
16.8,2008,6,"Alaska"
17.85,2008,7,"Alaska"
17.32,2008,8,"Alaska"
17.06,2008,9,"Alaska"
16.64,2008,10,"Alaska"
16.55,2008,11,"Alaska"
16.23,2008,12,"Alaska"
17.39,2009,1,"Alaska"
16.93,2009,2,"Alaska"
17.31,2009,3,"Alaska"
17.02,2009,4,"Alaska"
17.61,2009,5,"Alaska"
17.7,2009,6,"Alaska"
17.97,2009,7,"Alaska"
17.09,2009,8,"Alaska"
17.34,2009,9,"Alaska"
16.85,2009,10,"Alaska"
16.7,2009,11,"Alaska"
16.27,2009,12,"Alaska"
15.76,2010,1,"Alaska"
16.12,2010,2,"Alaska"
16.12,2010,3,"Alaska"
16.3,2010,4,"Alaska"
16.79,2010,5,"Alaska"
16.64,2010,6,"Alaska"
16.78,2010,7,"Alaska"
16.63,2010,8,"Alaska"
15.65,2010,9,"Alaska"
16.1,2010,10,"Alaska"
16.57,2010,11,"Alaska"
16.04,2010,12,"Alaska"
16.42,2011,1,"Alaska"
16.54,2011,2,"Alaska"
16.77,2011,3,"Alaska"
17.44,2011,4,"Alaska"
17.61,2011,5,"Alaska"
18.02,2011,6,"Alaska"
18.92,2011,7,"Alaska"
18.42,2011,8,"Alaska"
18.34,2011,9,"Alaska"
18.2,2011,10,"Alaska"
17.93,2011,11,"Alaska"
17.89,2011,12,"Alaska"
18.04,2012,1,"Alaska"
17.44,2012,2,"Alaska"
17.97,2012,3,"Alaska"
17.64,2012,4,"Alaska"
18.43,2012,5,"Alaska"
18.1,2012,6,"Alaska"
19.44,2012,7,"Alaska"
19.07,2012,8,"Alaska"
17.34,2012,9,"Alaska"
17.82,2012,10,"Alaska"
17.1,2012,11,"Alaska"
17.06,2012,12,"Alaska"
17.12,2013,1,"Alaska"
17.5,2013,2,"Alaska"
17.88,2013,3,"Alaska"
18.45,2013,4,"Alaska"
18.45,2013,5,"Alaska"
18.44,2013,6,"Alaska"
19.2,2013,7,"Alaska"
18.62,2013,8,"Alaska"
18.4,2013,9,"Alaska"
17.86,2013,10,"Alaska"
18.27,2013,11,"Alaska"
18.04,2013,12,"Alaska"
17.49,2014,1,"Alaska"
17.88,2014,2,"Alaska"
17.91,2014,3,"Alaska"
18.29,2014,4,"Alaska"
20.17,2014,5,"Alaska"
20.47,2014,6,"Alaska"
20.73,2014,7,"Alaska"
20.57,2014,8,"Alaska"
19.8,2014,9,"Alaska"
20.03,2014,10,"Alaska"
19.7,2014,11,"Alaska"
18.46,2014,12,"Alaska"
19.09,2015,1,"Alaska"
19.05,2015,2,"Alaska"
19.38,2015,3,"Alaska"
19.35,2015,4,"Alaska"
19.99,2015,5,"Alaska"
20.76,2015,6,"Alaska"
20.92,2015,7,"Alaska"
20.67,2015,8,"Alaska"
20.31,2015,9,"Alaska"
20.36,2015,10,"Alaska"
20.04,2015,11,"Alaska"
19.11,2015,12,"Alaska"
19.42,2016,1,"Alaska"
19.81,2016,2,"Alaska"
20.05,2016,3,"Alaska"
20.71,2016,4,"Alaska"
20.9,2016,5,"Alaska"
21.31,2016,6,"Alaska"
21.42,2016,7,"Alaska"
21.07,2016,8,"Alaska"
20.85,2016,9,"Alaska"
4.95,2001,1,"Washington"
5.51,2001,2,"Washington"
5.71,2001,3,"Washington"
5.72,2001,4,"Washington"
5.74,2001,5,"Washington"
5.67,2001,6,"Washington"
5.64,2001,7,"Washington"
5.87,2001,8,"Washington"
5.79,2001,9,"Washington"
5.82,2001,10,"Washington"
6.14,2001,11,"Washington"
6.23,2001,12,"Washington"
6.34,2002,1,"Washington"
6.31,2002,2,"Washington"
6.31,2002,3,"Washington"
6.3,2002,4,"Washington"
6.39,2002,5,"Washington"
6.39,2002,6,"Washington"
6.31,2002,7,"Washington"
6.33,2002,8,"Washington"
6.22,2002,9,"Washington"
6.24,2002,10,"Washington"
6.18,2002,11,"Washington"
6.19,2002,12,"Washington"
6.21,2003,1,"Washington"
6.23,2003,2,"Washington"
6.24,2003,3,"Washington"
6.3,2003,4,"Washington"
6.34,2003,5,"Washington"
6.36,2003,6,"Washington"
6.37,2003,7,"Washington"
6.36,2003,8,"Washington"
6.37,2003,9,"Washington"
6.34,2003,10,"Washington"
6.26,2003,11,"Washington"
6.41,2003,12,"Washington"
6.34,2004,1,"Washington"
6.62,2004,2,"Washington"
6.31,2004,3,"Washington"
6.27,2004,4,"Washington"
6.28,2004,5,"Washington"
6.34,2004,6,"Washington"
6.34,2004,7,"Washington"
6.37,2004,8,"Washington"
6.35,2004,9,"Washington"
6.51,2004,10,"Washington"
6.32,2004,11,"Washington"
6.4,2004,12,"Washington"
6.46,2005,1,"Washington"
6.43,2005,2,"Washington"
6.42,2005,3,"Washington"
6.53,2005,4,"Washington"
6.55,2005,5,"Washington"
6.6,2005,6,"Washington"
6.58,2005,7,"Washington"
6.61,2005,8,"Washington"
6.59,2005,9,"Washington"
6.58,2005,10,"Washington"
6.59,2005,11,"Washington"
6.68,2005,12,"Washington"
5.74,2006,1,"Washington"
6.73,2006,2,"Washington"
6.75,2006,3,"Washington"
6.77,2006,4,"Washington"
6.86,2006,5,"Washington"
6.91,2006,6,"Washington"
6.98,2006,7,"Washington"
7.07,2006,8,"Washington"
7.11,2006,9,"Washington"
7.13,2006,10,"Washington"
7.21,2006,11,"Washington"
7.18,2006,12,"Washington"
7.02,2007,1,"Washington"
6.93,2007,2,"Washington"
6.92,2007,3,"Washington"
7,2007,4,"Washington"
7.03,2007,5,"Washington"
7.29,2007,6,"Washington"
7.65,2007,7,"Washington"
7.41,2007,8,"Washington"
7.62,2007,9,"Washington"
7.6,2007,10,"Washington"
7.52,2007,11,"Washington"
7.55,2007,12,"Washington"
7.43,2008,1,"Washington"
7.51,2008,2,"Washington"
7.48,2008,3,"Washington"
7.46,2008,4,"Washington"
7.11,2008,5,"Washington"
7.65,2008,6,"Washington"
7.7,2008,7,"Washington"
7.71,2008,8,"Washington"
7.77,2008,9,"Washington"
7.73,2008,10,"Washington"
7.71,2008,11,"Washington"
7.52,2008,12,"Washington"
7.54,2009,1,"Washington"
7.55,2009,2,"Washington"
7.53,2009,3,"Washington"
7.6,2009,4,"Washington"
7.68,2009,5,"Washington"
7.82,2009,6,"Washington"
7.79,2009,7,"Washington"
7.86,2009,8,"Washington"
7.83,2009,9,"Washington"
7.73,2009,10,"Washington"
7.73,2009,11,"Washington"
7.71,2009,12,"Washington"
7.69,2010,1,"Washington"
7.72,2010,2,"Washington"
7.75,2010,3,"Washington"
7.91,2010,4,"Washington"
8.12,2010,5,"Washington"
8.22,2010,6,"Washington"
8.23,2010,7,"Washington"
8.25,2010,8,"Washington"
8.35,2010,9,"Washington"
8.31,2010,10,"Washington"
8.23,2010,11,"Washington"
8.13,2010,12,"Washington"
8.03,2011,1,"Washington"
8.06,2011,2,"Washington"
8.06,2011,3,"Washington"
8.14,2011,4,"Washington"
8.27,2011,5,"Washington"
8.47,2011,6,"Washington"
8.48,2011,7,"Washington"
8.4,2011,8,"Washington"
8.52,2011,9,"Washington"
8.45,2011,10,"Washington"
8.44,2011,11,"Washington"
8.38,2011,12,"Washington"
8.37,2012,1,"Washington"
8.28,2012,2,"Washington"
8.35,2012,3,"Washington"
8.46,2012,4,"Washington"
8.52,2012,5,"Washington"
8.7,2012,6,"Washington"
8.7,2012,7,"Washington"
8.72,2012,8,"Washington"
8.79,2012,9,"Washington"
8.68,2012,10,"Washington"
8.61,2012,11,"Washington"
8.53,2012,12,"Washington"
8.5,2013,1,"Washington"
8.53,2013,2,"Washington"
8.51,2013,3,"Washington"
8.59,2013,4,"Washington"
8.69,2013,5,"Washington"
8.85,2013,6,"Washington"
8.9,2013,7,"Washington"
8.96,2013,8,"Washington"
9,2013,9,"Washington"
8.84,2013,10,"Washington"
8.73,2013,11,"Washington"
8.66,2013,12,"Washington"
8.52,2014,1,"Washington"
8.61,2014,2,"Washington"
8.64,2014,3,"Washington"
8.69,2014,4,"Washington"
8.89,2014,5,"Washington"
8.75,2014,6,"Washington"
8.93,2014,7,"Washington"
8.9,2014,8,"Washington"
8.92,2014,9,"Washington"
8.8,2014,10,"Washington"
8.61,2014,11,"Washington"
8.19,2014,12,"Washington"
8.64,2015,1,"Washington"
8.68,2015,2,"Washington"
8.72,2015,3,"Washington"
8.86,2015,4,"Washington"
8.94,2015,5,"Washington"
9.43,2015,6,"Washington"
9.38,2015,7,"Washington"
9.4,2015,8,"Washington"
9.41,2015,9,"Washington"
9.44,2015,10,"Washington"
9.41,2015,11,"Washington"
9.22,2015,12,"Washington"
9.06,2016,1,"Washington"
9.21,2016,2,"Washington"
9.22,2016,3,"Washington"
9.33,2016,4,"Washington"
9.54,2016,5,"Washington"
9.59,2016,6,"Washington"
9.6,2016,7,"Washington"
9.57,2016,8,"Washington"
9.64,2016,9,"Washington"
5.68,2001,1,"Oregon"
5.81,2001,2,"Oregon"
5.91,2001,3,"Oregon"
6.05,2001,4,"Oregon"
6.18,2001,5,"Oregon"
6.35,2001,6,"Oregon"
6.26,2001,7,"Oregon"
6.37,2001,8,"Oregon"
6.29,2001,9,"Oregon"
6.69,2001,10,"Oregon"
7.08,2001,11,"Oregon"
7.15,2001,12,"Oregon"
7.1,2002,1,"Oregon"
7.08,2002,2,"Oregon"
7.21,2002,3,"Oregon"
7.2,2002,4,"Oregon"
7.1,2002,5,"Oregon"
7.16,2002,6,"Oregon"
7.14,2002,7,"Oregon"
7.23,2002,8,"Oregon"
7.16,2002,9,"Oregon"
6.98,2002,10,"Oregon"
7.08,2002,11,"Oregon"
7,2002,12,"Oregon"
7,2003,1,"Oregon"
6.92,2003,2,"Oregon"
7.01,2003,3,"Oregon"
6.99,2003,4,"Oregon"
7.07,2003,5,"Oregon"
7.18,2003,6,"Oregon"
7.17,2003,7,"Oregon"
7.13,2003,8,"Oregon"
7.1,2003,9,"Oregon"
7.09,2003,10,"Oregon"
7.09,2003,11,"Oregon"
7.07,2003,12,"Oregon"
7.15,2004,1,"Oregon"
7.28,2004,2,"Oregon"
7.1,2004,3,"Oregon"
7.15,2004,4,"Oregon"
7.19,2004,5,"Oregon"
7.09,2004,6,"Oregon"
7.18,2004,7,"Oregon"
7.21,2004,8,"Oregon"
7.17,2004,9,"Oregon"
7.26,2004,10,"Oregon"
7.22,2004,11,"Oregon"
7.2,2004,12,"Oregon"
7.21,2005,1,"Oregon"
7.2,2005,2,"Oregon"
7.19,2005,3,"Oregon"
7.22,2005,4,"Oregon"
7.18,2005,5,"Oregon"
7.25,2005,6,"Oregon"
7.25,2005,7,"Oregon"
7.29,2005,8,"Oregon"
7.24,2005,9,"Oregon"
7.24,2005,10,"Oregon"
7.35,2005,11,"Oregon"
7.41,2005,12,"Oregon"
7.03,2006,1,"Oregon"
7.38,2006,2,"Oregon"
7.37,2006,3,"Oregon"
7.4,2006,4,"Oregon"
7.54,2006,5,"Oregon"
7.56,2006,6,"Oregon"
7.64,2006,7,"Oregon"
7.62,2006,8,"Oregon"
7.68,2006,9,"Oregon"
7.66,2006,10,"Oregon"
7.63,2006,11,"Oregon"
7.51,2006,12,"Oregon"
7.69,2007,1,"Oregon"
7.6,2007,2,"Oregon"
7.65,2007,3,"Oregon"
7.75,2007,4,"Oregon"
7.8,2007,5,"Oregon"
8.29,2007,6,"Oregon"
8.78,2007,7,"Oregon"
8.74,2007,8,"Oregon"
8.84,2007,9,"Oregon"
8.71,2007,10,"Oregon"
8.57,2007,11,"Oregon"
8.44,2007,12,"Oregon"
8.45,2008,1,"Oregon"
8.45,2008,2,"Oregon"
8.52,2008,3,"Oregon"
8.56,2008,4,"Oregon"
8.34,2008,5,"Oregon"
8.63,2008,6,"Oregon"
8.64,2008,7,"Oregon"
8.57,2008,8,"Oregon"
8.71,2008,9,"Oregon"
8.63,2008,10,"Oregon"
8.44,2008,11,"Oregon"
8.21,2008,12,"Oregon"
8.32,2009,1,"Oregon"
8.53,2009,2,"Oregon"
8.4,2009,3,"Oregon"
8.56,2009,4,"Oregon"
8.76,2009,5,"Oregon"
8.95,2009,6,"Oregon"
8.97,2009,7,"Oregon"
8.95,2009,8,"Oregon"
8.98,2009,9,"Oregon"
8.85,2009,10,"Oregon"
8.77,2009,11,"Oregon"
8.59,2009,12,"Oregon"
8.39,2010,1,"Oregon"
8.66,2010,2,"Oregon"
8.77,2010,3,"Oregon"
8.87,2010,4,"Oregon"
8.99,2010,5,"Oregon"
9.07,2010,6,"Oregon"
9.14,2010,7,"Oregon"
9.06,2010,8,"Oregon"
9.09,2010,9,"Oregon"
9.12,2010,10,"Oregon"
8.98,2010,11,"Oregon"
8.75,2010,12,"Oregon"
9.18,2011,1,"Oregon"
9.39,2011,2,"Oregon"
9.27,2011,3,"Oregon"
9.4,2011,4,"Oregon"
9.46,2011,5,"Oregon"
9.67,2011,6,"Oregon"
9.8,2011,7,"Oregon"
9.78,2011,8,"Oregon"
9.79,2011,9,"Oregon"
9.78,2011,10,"Oregon"
9.7,2011,11,"Oregon"
9.57,2011,12,"Oregon"
9.58,2012,1,"Oregon"
9.63,2012,2,"Oregon"
9.66,2012,3,"Oregon"
9.73,2012,4,"Oregon"
9.86,2012,5,"Oregon"
9.92,2012,6,"Oregon"
10.01,2012,7,"Oregon"
10.01,2012,8,"Oregon"
10,2012,9,"Oregon"
10,2012,10,"Oregon"
9.82,2012,11,"Oregon"
9.74,2012,12,"Oregon"
9.62,2013,1,"Oregon"
9.7,2013,2,"Oregon"
9.65,2013,3,"Oregon"
9.69,2013,4,"Oregon"
9.91,2013,5,"Oregon"
10.11,2013,6,"Oregon"
10.18,2013,7,"Oregon"
10.15,2013,8,"Oregon"
10.09,2013,9,"Oregon"
10.1,2013,10,"Oregon"
9.97,2013,11,"Oregon"
9.92,2013,12,"Oregon"
10.07,2014,1,"Oregon"
10.23,2014,2,"Oregon"
10.17,2014,3,"Oregon"
10.37,2014,4,"Oregon"
10.57,2014,5,"Oregon"
10.75,2014,6,"Oregon"
10.83,2014,7,"Oregon"
10.75,2014,8,"Oregon"
10.72,2014,9,"Oregon"
10.78,2014,10,"Oregon"
10.56,2014,11,"Oregon"
10.3,2014,12,"Oregon"
10.27,2015,1,"Oregon"
10.45,2015,2,"Oregon"
10.56,2015,3,"Oregon"
10.66,2015,4,"Oregon"
10.82,2015,5,"Oregon"
10.95,2015,6,"Oregon"
11.06,2015,7,"Oregon"
10.68,2015,8,"Oregon"
10.89,2015,9,"Oregon"
10.93,2015,10,"Oregon"
10.68,2015,11,"Oregon"
10.39,2015,12,"Oregon"
10.18,2016,1,"Oregon"
10.35,2016,2,"Oregon"
10.42,2016,3,"Oregon"
10.5,2016,4,"Oregon"
10.8,2016,5,"Oregon"
10.79,2016,6,"Oregon"
10.78,2016,7,"Oregon"
10.86,2016,8,"Oregon"
10.91,2016,9,"Oregon"
10.89,2001,1,"California"
11.14,2001,2,"California"
11.29,2001,3,"California"
11.14,2001,4,"California"
11.97,2001,5,"California"
12.87,2001,6,"California"
13.05,2001,7,"California"
12.8,2001,8,"California"
12.87,2001,9,"California"
12.49,2001,10,"California"
12.12,2001,11,"California"
12.26,2001,12,"California"
13.03,2002,1,"California"
12.58,2002,2,"California"
12.58,2002,3,"California"
12.05,2002,4,"California"
12.82,2002,5,"California"
12.87,2002,6,"California"
13.28,2002,7,"California"
12.92,2002,8,"California"
11.61,2002,9,"California"
11.98,2002,10,"California"
12.55,2002,11,"California"
13.31,2002,12,"California"
12.81,2003,1,"California"
12.41,2003,2,"California"
11.42,2003,3,"California"
12.51,2003,4,"California"
12.74,2003,5,"California"
13.12,2003,6,"California"
13.5,2003,7,"California"
12.9,2003,8,"California"
10.08,2003,9,"California"
10.47,2003,10,"California"
12.54,2003,11,"California"
12.45,2003,12,"California"
12.59,2004,1,"California"
12.39,2004,2,"California"
12.14,2004,3,"California"
11.43,2004,4,"California"
11.97,2004,5,"California"
12.4,2004,6,"California"
12.19,2004,7,"California"
12.5,2004,8,"California"
12.18,2004,9,"California"
11.43,2004,10,"California"
12.5,2004,11,"California"
12.4,2004,12,"California"
12.19,2005,1,"California"
12.33,2005,2,"California"
11.28,2005,3,"California"
12.12,2005,4,"California"
12.57,2005,5,"California"
13.4,2005,6,"California"
13.16,2005,7,"California"
13.43,2005,8,"California"
12.14,2005,9,"California"
11.3,2005,10,"California"
12.8,2005,11,"California"
12.91,2005,12,"California"
13.14,2006,1,"California"
13.45,2006,2,"California"
13.72,2006,3,"California"
13.99,2006,4,"California"
14.04,2006,5,"California"
15.17,2006,6,"California"
16.65,2006,7,"California"
14.89,2006,8,"California"
14.57,2006,9,"California"
12.2,2006,10,"California"
14.47,2006,11,"California"
14.47,2006,12,"California"
14.98,2007,1,"California"
14.18,2007,2,"California"
13.82,2007,3,"California"
13.74,2007,4,"California"
14.15,2007,5,"California"
14.72,2007,6,"California"
15.13,2007,7,"California"
15.11,2007,8,"California"
15.1,2007,9,"California"
12.53,2007,10,"California"
14.37,2007,11,"California"
14.46,2007,12,"California"
13.73,2008,1,"California"
13.36,2008,2,"California"
13.15,2008,3,"California"
12.93,2008,4,"California"
13.55,2008,5,"California"
14.5,2008,6,"California"
14.4,2008,7,"California"
14.56,2008,8,"California"
14.02,2008,9,"California"
13.09,2008,10,"California"
14.22,2008,11,"California"
13.7,2008,12,"California"
14.7,2009,1,"California"
14.14,2009,2,"California"
14.14,2009,3,"California"
13.96,2009,4,"California"
15.01,2009,5,"California"
14.77,2009,6,"California"
15.66,2009,7,"California"
15.93,2009,8,"California"
15.53,2009,9,"California"
13.85,2009,10,"California"
13.56,2009,11,"California"
14.73,2009,12,"California"
15.18,2010,1,"California"
14.21,2010,2,"California"
14.78,2010,3,"California"
13.91,2010,4,"California"
14.9,2010,5,"California"
15,2010,6,"California"
15.03,2010,7,"California"
15.19,2010,8,"California"
14.85,2010,9,"California"
14.11,2010,10,"California"
14.67,2010,11,"California"
14.96,2010,12,"California"
15.24,2011,1,"California"
14.38,2011,2,"California"
14.27,2011,3,"California"
14.12,2011,4,"California"
14.62,2011,5,"California"
14.81,2011,6,"California"
15.7,2011,7,"California"
15.15,2011,8,"California"
14.8,2011,9,"California"
14.16,2011,10,"California"
14.87,2011,11,"California"
14.78,2011,12,"California"
15.29,2012,1,"California"
14.56,2012,2,"California"
14.7,2012,3,"California"
14.66,2012,4,"California"
15.02,2012,5,"California"
15.92,2012,6,"California"
15.22,2012,7,"California"
16.46,2012,8,"California"
16.82,2012,9,"California"
14.22,2012,10,"California"
14.88,2012,11,"California"
15.49,2012,12,"California"
16.16,2013,1,"California"
15.31,2013,2,"California"
15.25,2013,3,"California"
15.28,2013,4,"California"
15.92,2013,5,"California"
17.13,2013,6,"California"
16.83,2013,7,"California"
16.32,2013,8,"California"
16.99,2013,9,"California"
16.19,2013,10,"California"
16.53,2013,11,"California"
16.22,2013,12,"California"
16.57,2014,1,"California"
16.11,2014,2,"California"
15.86,2014,3,"California"
10.12,2014,4,"California"
16.46,2014,5,"California"
16.9,2014,6,"California"
17.63,2014,7,"California"
18.07,2014,8,"California"
17.97,2014,9,"California"
13.35,2014,10,"California"
17,2014,11,"California"
17.03,2014,12,"California"
17.4,2015,1,"California"
17.13,2015,2,"California"
17.01,2015,3,"California"
12.45,2015,4,"California"
17.31,2015,5,"California"
17.19,2015,6,"California"
17.96,2015,7,"California"
18.2,2015,8,"California"
18.35,2015,9,"California"
14.96,2015,10,"California"
17.33,2015,11,"California"
17.29,2015,12,"California"
17.76,2016,1,"California"
17.69,2016,2,"California"
17.66,2016,3,"California"
12.4,2016,4,"California"
17.74,2016,5,"California"
18.11,2016,6,"California"
18.49,2016,7,"California"
18.88,2016,8,"California"
18.22,2016,9,"California"
6.01,2001,1,"Wyoming"
6.25,2001,2,"Wyoming"
6.2,2001,3,"Wyoming"
6.61,2001,4,"Wyoming"
6.85,2001,5,"Wyoming"
7.19,2001,6,"Wyoming"
7.23,2001,7,"Wyoming"
7.28,2001,8,"Wyoming"
8.19,2001,9,"Wyoming"
7.08,2001,10,"Wyoming"
6.94,2001,11,"Wyoming"
6.55,2001,12,"Wyoming"
6.33,2002,1,"Wyoming"
6.53,2002,2,"Wyoming"
6.51,2002,3,"Wyoming"
6.77,2002,4,"Wyoming"
7.15,2002,5,"Wyoming"
7.2,2002,6,"Wyoming"
7.54,2002,7,"Wyoming"
7.39,2002,8,"Wyoming"
7.69,2002,9,"Wyoming"
7.81,2002,10,"Wyoming"
6.9,2002,11,"Wyoming"
6.73,2002,12,"Wyoming"
6.54,2003,1,"Wyoming"
6.69,2003,2,"Wyoming"
6.71,2003,3,"Wyoming"
6.9,2003,4,"Wyoming"
7.33,2003,5,"Wyoming"
7.47,2003,6,"Wyoming"
7.63,2003,7,"Wyoming"
7.36,2003,8,"Wyoming"
7.62,2003,9,"Wyoming"
7.91,2003,10,"Wyoming"
7,2003,11,"Wyoming"
6.16,2003,12,"Wyoming"
6.51,2004,1,"Wyoming"
6.75,2004,2,"Wyoming"
6.72,2004,3,"Wyoming"
7.32,2004,4,"Wyoming"
7.46,2004,5,"Wyoming"
7.75,2004,6,"Wyoming"
7.82,2004,7,"Wyoming"
7.71,2004,8,"Wyoming"
7.72,2004,9,"Wyoming"
7.84,2004,10,"Wyoming"
7.28,2004,11,"Wyoming"
6.76,2004,12,"Wyoming"
6.81,2005,1,"Wyoming"
7.16,2005,2,"Wyoming"
7.19,2005,3,"Wyoming"
7.37,2005,4,"Wyoming"
7.63,2005,5,"Wyoming"
7.88,2005,6,"Wyoming"
8.09,2005,7,"Wyoming"
7.95,2005,8,"Wyoming"
8.11,2005,9,"Wyoming"
7.95,2005,10,"Wyoming"
7.54,2005,11,"Wyoming"
6.92,2005,12,"Wyoming"
6.87,2006,1,"Wyoming"
7.22,2006,2,"Wyoming"
7.38,2006,3,"Wyoming"
7.75,2006,4,"Wyoming"
8.04,2006,5,"Wyoming"
8.18,2006,6,"Wyoming"
8.25,2006,7,"Wyoming"
8.17,2006,8,"Wyoming"
8.43,2006,9,"Wyoming"
8.31,2006,10,"Wyoming"
7.83,2006,11,"Wyoming"
7.49,2006,12,"Wyoming"
7.29,2007,1,"Wyoming"
7.28,2007,2,"Wyoming"
7.5,2007,3,"Wyoming"
7.8,2007,4,"Wyoming"
8.03,2007,5,"Wyoming"
8.22,2007,6,"Wyoming"
8.11,2007,7,"Wyoming"
7.9,2007,8,"Wyoming"
8.28,2007,9,"Wyoming"
8.24,2007,10,"Wyoming"
7.8,2007,11,"Wyoming"
7.4,2007,12,"Wyoming"
7.34,2008,1,"Wyoming"
7.55,2008,2,"Wyoming"
7.76,2008,3,"Wyoming"
7.98,2008,4,"Wyoming"
8.53,2008,5,"Wyoming"
8.86,2008,6,"Wyoming"
8.94,2008,7,"Wyoming"
8.77,2008,8,"Wyoming"
8.95,2008,9,"Wyoming"
9.02,2008,10,"Wyoming"
8.44,2008,11,"Wyoming"
7.92,2008,12,"Wyoming"
7.82,2009,1,"Wyoming"
8.09,2009,2,"Wyoming"
8.24,2009,3,"Wyoming"
8.41,2009,4,"Wyoming"
8.93,2009,5,"Wyoming"
9.28,2009,6,"Wyoming"
9.17,2009,7,"Wyoming"
9.26,2009,8,"Wyoming"
9.22,2009,9,"Wyoming"
8.98,2009,10,"Wyoming"
8.56,2009,11,"Wyoming"
8.24,2009,12,"Wyoming"
8.04,2010,1,"Wyoming"
8.28,2010,2,"Wyoming"
8.43,2010,3,"Wyoming"
8.55,2010,4,"Wyoming"
8.86,2010,5,"Wyoming"
9.14,2010,6,"Wyoming"
9.44,2010,7,"Wyoming"
9.52,2010,8,"Wyoming"
9.45,2010,9,"Wyoming"
9.5,2010,10,"Wyoming"
8.92,2010,11,"Wyoming"
8.4,2010,12,"Wyoming"
8.3,2011,1,"Wyoming"
8.47,2011,2,"Wyoming"
8.65,2011,3,"Wyoming"
8.89,2011,4,"Wyoming"
9.12,2011,5,"Wyoming"
9.43,2011,6,"Wyoming"
9.69,2011,7,"Wyoming"
9.44,2011,8,"Wyoming"
9.61,2011,9,"Wyoming"
10.08,2011,10,"Wyoming"
9.54,2011,11,"Wyoming"
9.18,2011,12,"Wyoming"
9.12,2012,1,"Wyoming"
9.16,2012,2,"Wyoming"
9.4,2012,3,"Wyoming"
9.74,2012,4,"Wyoming"
10.08,2012,5,"Wyoming"
10.22,2012,6,"Wyoming"
10.38,2012,7,"Wyoming"
10.27,2012,8,"Wyoming"
10.38,2012,9,"Wyoming"
10.36,2012,10,"Wyoming"
10.01,2012,11,"Wyoming"
9.89,2012,12,"Wyoming"
9.5,2013,1,"Wyoming"
9.55,2013,2,"Wyoming"
9.81,2013,3,"Wyoming"
9.92,2013,4,"Wyoming"
10.2,2013,5,"Wyoming"
10.75,2013,6,"Wyoming"
10.83,2013,7,"Wyoming"
10.68,2013,8,"Wyoming"
10.72,2013,9,"Wyoming"
10.56,2013,10,"Wyoming"
10.23,2013,11,"Wyoming"
10.11,2013,12,"Wyoming"
